,Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link,time_since_posting
118,BBC Earth,13400000,2971,5056423019,189996,2187,157,2024-12-22 23:59:00,https://www.youtube.com/watch?v=AqKyCYWdBAI&ab_channel=BBCEarth,64
119,BBC Earth,13400000,2971,5056423019,12102,303,11,2024-12-29 23:45:00,https://www.youtube.com/watch?v=1Mtm3TiUhts&ab_channel=BBCEarth,57
120,BBC Earth,13400000,2971,5056423019,259966,9645,155,2025-01-04 16:00:28,https://www.youtube.com/watch?v=No45YnGEwPI&ab_channel=BBCEarth,51
121,BBC Earth,13400000,2971,5056423019,94780,2410,57,2025-01-09 16:00:10,https://www.youtube.com/watch?v=4TYbTatyhLg&ab_channel=BBCEarth,46
122,BBC Earth,13400000,2971,5056423019,494637,6483,301,2025-01-14 17:30:03,https://www.youtube.com/watch?v=FTS46pVoX5w&ab_channel=BBCEarth,41
123,BBC Earth,13400000,2971,5056423019,204505,2435,143,2025-01-23 12:01:00,https://www.youtube.com/watch?v=fnl6VXugXQc&ab_channel=BBCEarth,32
124,BBC Earth,13400000,2971,5056423019,271548,1715,57,2025-01-30 12:00:41,https://www.youtube.com/watch?v=WtkqzfaVbxk&ab_channel=BBCEarth,25
125,BBC Earth,13400000,2971,5056423019,50427,1390,80,2025-02-04 16:00:52,https://www.youtube.com/watch?v=jOs-A904ZaA&ab_channel=BBCEarth,20
126,BBC Earth,13400000,2971,5056423019,63305,699,26,2025-02-09 16:00:02,https://www.youtube.com/watch?v=10qME6ALrnk&ab_channel=BBCEarth,15
127,BBC Earth,13400000,2971,5056423019,557427,6897,240,2025-02-08 16:00:22,https://www.youtube.com/watch?v=RBgFsVN3uR8&ab_channel=BBCEarth,16
128,BBC Earth,13400000,2971,5056423019,149923,915,27,2025-02-02 16:00:30,https://www.youtube.com/watch?v=XQ1LTkyFsM0&ab_channel=BBCEarth,22
129,BBC Earth,13400000,2971,5056423019,67493,1891,107,2025-01-28 16:00:32,https://www.youtube.com/watch?v=SO-ZPxgPxo8&ab_channel=BBCEarth,27
130,BBC Earth,13400000,2971,5056423019,114544,1220,49,2025-01-19 16:00:57,https://www.youtube.com/watch?v=tKqvyvLRCiU&ab_channel=BBCEarth,36
131,BBC Earth,13400000,2971,5056423019,526838,1943,53,2025-01-13 16:00:33,https://www.youtube.com/watch?v=V2PaWGkElCM&ab_channel=BBCEarth,42
132,BBC Earth,13400000,2971,5056423019,96302,1902,60,2025-01-08 16:16:56,https://www.youtube.com/watch?v=Gexpqy0iPf4&ab_channel=BBCEarth,47
133,BBC Earth,13400000,2971,5056423019,71271,1395,65,2025-01-02 16:00:16,https://www.youtube.com/watch?v=CQSOU3-Z-7Q&ab_channel=BBCEarth,53
134,BBC Earth,13400000,2971,5056423019,91514,1743,34,2024-12-28 14:00:05,https://www.youtube.com/watch?v=6zppU-RiC18&ab_channel=BBCEarth,58
135,BBC Earth,13400000,2971,5056423019,1112856,2079,51,2024-12-19 14:00:56,https://www.youtube.com/watch?v=uRAU43tJTG4&ab_channel=BBCEarth,67
136,BBC Earth,13400000,2971,5056423019,1227207,6921,178,2024-12-14 14:00:43,https://www.youtube.com/watch?v=h26U-DrQe4M&ab_channel=BBCEarth,72
137,BBC Earth,13400000,2971,5056423019,55094,1745,66,2024-12-12 15:09:00,https://www.youtube.com/watch?v=id42WD1YMbM&ab_channel=BBCEarth,74
138,BBC Earth,13400000,2971,5056423019,43310,1486,50,2024-12-17 12:00:45,https://www.youtube.com/watch?v=XmGoeTUJuy4&ab_channel=BBCEarth,69
139,BBC Earth,13400000,2971,5056423019,241911,1771,106,2024-12-24 14:00:46,https://www.youtube.com/watch?v=g_NuYcwGEwU&ab_channel=BBCEarth,62
140,BBC Earth,13400000,2971,5056423019,94602,3377,158,2024-12-31 15:00:15,https://www.youtube.com/watch?v=9ZI5mt-BL-w&ab_channel=BBCEarth,55
141,BBC Earth,13400000,2971,5056423019,77010,1105,69,2025-01-07 16:00:28,https://www.youtube.com/watch?v=IkRyGUnA_rY&ab_channel=BBCEarth,48
142,BBC Earth,13400000,2971,5056423019,22934,252,22,2025-01-12 16:00:36,https://www.youtube.com/watch?v=cwulf6ZxFRo&ab_channel=BBCEarth,43
143,BBC Earth,13400000,2971,5056423019,3699022,23537,1103,2025-01-18 16:00:48,https://www.youtube.com/watch?v=l2-DCVBxgPI&ab_channel=BBCEarth,37
144,BBC Earth,13400000,2971,5056423019,175817,900,47,2025-01-26 16:00:14,https://www.youtube.com/watch?v=FcX5Zx11qlU&ab_channel=BBCEarth,29
145,BBC Earth,13400000,2971,5056423019,996311,5017,150,2025-02-01 17:00:25,https://www.youtube.com/watch?v=T7oExc711xE&ab_channel=BBCEarth,23
146,BBC Earth,13400000,2971,5056423019,200517,2880,158,2025-02-06 20:00:07,https://www.youtube.com/watch?v=E9RQnXpUzCM&ab_channel=BBCEarth,18
147,BBC Earth,13400000,2971,5056423019,525183,7732,461,2025-02-06 16:00:31,https://www.youtube.com/watch?v=QSBCOexk50I&ab_channel=BBCEarth,18
148,BBC Earth,13400000,2971,5056423019,498592,2014,106,2025-01-30 13:00:19,https://www.youtube.com/watch?v=HY1Wo0u3Cig&ab_channel=BBCEarth,25
149,BBC Earth,13400000,2971,5056423019,137319,1066,51,2025-01-23 17:00:57,https://www.youtube.com/watch?v=lyp6tM4ohEo&ab_channel=BBCEarth,32
150,BBC Earth,13400000,2971,5056423019,163576,1560,65,2025-01-16 17:00:14,https://www.youtube.com/watch?v=A_EpZX6v6fg&ab_channel=BBCEarth,39
151,BBC Earth,13400000,2971,5056423019,113618,1732,65,2025-01-11 16:00:50,https://www.youtube.com/watch?v=uQFAG5WHw0Q&ab_channel=BBCEarth,44
152,BBC Earth,13400000,2971,5056423019,68184,982,23,2025-01-06 17:33:25,https://www.youtube.com/watch?v=V-ImU_RZaqA&ab_channel=BBCEarth,49
153,BBC Earth,13400000,2971,5056423019,110718,994,28,2024-12-30 16:00:22,https://www.youtube.com/watch?v=JFxDIp-S1Kg&ab_channel=BBCEarth,56
154,BBC Earth,13400000,2971,5056423019,59946,1423,76,2024-12-23 16:00:25,https://www.youtube.com/watch?v=VEuqn9YDobU&ab_channel=BBCEarth,63
155,BBC Earth,13400000,2971,5056423019,168350,1930,84,2024-12-16 17:53:13,https://www.youtube.com/watch?v=meIi5DoYsIw&ab_channel=BBCEarth,70
156,BBC Earth,13400000,2971,5056423019,3808832,16821,499,2024-12-11 12:00:20,https://www.youtube.com/watch?v=GXnfBYPsAuE&ab_channel=BBCEarth,75
157,Practical Engineering,4230000,212,438857150,1095958,44276,2498,2025-02-04 14:00:02,https://www.youtube.com/watch?v=1ztGpGjO60o&ab_channel=EngineeringExplained,20
158,Practical Engineering,4230000,212,438857150,1784294,45251,2365,2025-01-21 14:01:04,https://www.youtube.com/watch?v=qQCB3N8Vaxk&ab_channel=EngineeringExplained,34
159,Practical Engineering,4230000,212,438857150,1082004,47871,1672,2025-01-07 14:00:31,https://www.youtube.com/watch?v=MNexLKROHmY&ab_channel=EngineeringExplained,48
160,Practical Engineering,4230000,212,438857150,1212184,34164,1490,2024-12-17 14:00:05,https://www.youtube.com/watch?v=5mYpQWPtfpo&ab_channel=EngineeringExplained,69
