Channel Name,Subscriber Count,Total Videos,Total Views,View Count,Like Count,Comment Count,Video Posted,Video Link
BBC Earth,13400000,2971,5056423019,259966,9645,155,2025-01-04T16:00:28Z,https://www.youtube.com/watch?v=No45YnGEwPI&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,94780,2410,57,2025-01-09T16:00:10Z,https://www.youtube.com/watch?v=4TYbTatyhLg&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,494637,6483,301,2025-01-14T17:30:03Z,https://www.youtube.com/watch?v=FTS46pVoX5w&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,204505,2435,143,2025-01-23T12:01:00Z,https://www.youtube.com/watch?v=fnl6VXugXQc&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,271548,1715,57,2025-01-30T12:00:41Z,https://www.youtube.com/watch?v=WtkqzfaVbxk&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,50427,1390,80,2025-02-04T16:00:52Z,https://www.youtube.com/watch?v=jOs-A904ZaA&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,63305,699,26,2025-02-09T16:00:02Z,https://www.youtube.com/watch?v=10qME6ALrnk&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,557427,6897,240,2025-02-08T16:00:22Z,https://www.youtube.com/watch?v=RBgFsVN3uR8&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,149923,915,27,2025-02-02T16:00:30Z,https://www.youtube.com/watch?v=XQ1LTkyFsM0&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,67493,1891,107,2025-01-28T16:00:32Z,https://www.youtube.com/watch?v=SO-ZPxgPxo8&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,114544,1220,49,2025-01-19T16:00:57Z,https://www.youtube.com/watch?v=tKqvyvLRCiU&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,526838,1943,53,2025-01-13T16:00:33Z,https://www.youtube.com/watch?v=V2PaWGkElCM&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,96302,1902,60,2025-01-08T16:16:56Z,https://www.youtube.com/watch?v=Gexpqy0iPf4&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,71271,1395,65,2025-01-02T16:00:16Z,https://www.youtube.com/watch?v=CQSOU3-Z-7Q&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,91514,1743,34,2024-12-28T14:00:05Z,https://www.youtube.com/watch?v=6zppU-RiC18&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,1112856,2079,51,2024-12-19T14:00:56Z,https://www.youtube.com/watch?v=uRAU43tJTG4&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,1227207,6921,178,2024-12-14T14:00:43Z,https://www.youtube.com/watch?v=h26U-DrQe4M&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,55094,1745,66,2024-12-12T15:09:00Z,https://www.youtube.com/watch?v=id42WD1YMbM&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,43310,1486,50,2024-12-17T12:00:45Z,https://www.youtube.com/watch?v=XmGoeTUJuy4&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,241911,1771,106,2024-12-24T14:00:46Z,https://www.youtube.com/watch?v=g_NuYcwGEwU&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,94602,3377,158,2024-12-31T15:00:15Z,https://www.youtube.com/watch?v=9ZI5mt-BL-w&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,77010,1105,69,2025-01-07T16:00:28Z,https://www.youtube.com/watch?v=IkRyGUnA_rY&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,22934,252,22,2025-01-12T16:00:36Z,https://www.youtube.com/watch?v=cwulf6ZxFRo&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,3699022,23537,1103,2025-01-18T16:00:48Z,https://www.youtube.com/watch?v=l2-DCVBxgPI&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,175817,900,47,2025-01-26T16:00:14Z,https://www.youtube.com/watch?v=FcX5Zx11qlU&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,996311,5017,150,2025-02-01T17:00:25Z,https://www.youtube.com/watch?v=T7oExc711xE&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,200517,2880,158,2025-02-06T20:00:07Z,https://www.youtube.com/watch?v=E9RQnXpUzCM&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,525183,7732,461,2025-02-06T16:00:31Z,https://www.youtube.com/watch?v=QSBCOexk50I&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,498592,2014,106,2025-01-30T13:00:19Z,https://www.youtube.com/watch?v=HY1Wo0u3Cig&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,137319,1066,51,2025-01-23T17:00:57Z,https://www.youtube.com/watch?v=lyp6tM4ohEo&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,163576,1560,65,2025-01-16T17:00:14Z,https://www.youtube.com/watch?v=A_EpZX6v6fg&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,113618,1732,65,2025-01-11T16:00:50Z,https://www.youtube.com/watch?v=uQFAG5WHw0Q&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,68184,982,23,2025-01-06T17:33:25Z,https://www.youtube.com/watch?v=V-ImU_RZaqA&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,110718,994,28,2024-12-30T16:00:22Z,https://www.youtube.com/watch?v=JFxDIp-S1Kg&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,59946,1423,76,2024-12-23T16:00:25Z,https://www.youtube.com/watch?v=VEuqn9YDobU&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,168350,1930,84,2024-12-16T17:53:13Z,https://www.youtube.com/watch?v=meIi5DoYsIw&ab_channel=BBCEarth
BBC Earth,13400000,2971,5056423019,3808832,16821,499,2024-12-11T12:00:20Z,https://www.youtube.com/watch?v=GXnfBYPsAuE&ab_channel=BBCEarth
Practical Engineering,4230000,212,438857150,1095958,44276,2498,2025-02-04T14:00:02Z,https://www.youtube.com/watch?v=1ztGpGjO60o&ab_channel=EngineeringExplained
Practical Engineering,4230000,212,438857150,1784294,45251,2365,2025-01-21T14:01:04Z,https://www.youtube.com/watch?v=qQCB3N8Vaxk&ab_channel=EngineeringExplained
Practical Engineering,4230000,212,438857150,1082004,47871,1672,2025-01-07T14:00:31Z,https://www.youtube.com/watch?v=MNexLKROHmY&ab_channel=EngineeringExplained
Practical Engineering,4230000,212,438857150,1212184,34164,1490,2024-12-17T14:00:05Z,https://www.youtube.com/watch?v=5mYpQWPtfpo&ab_channel=EngineeringExplained
Engineering Explained,4000000,1002,870500133,486930,19268,1343,2024-12-27T15:01:11Z,https://www.youtube.com/watch?v=y2TuR4fR1W0&ab_channel=EngineeringExplained
Engineering Explained,4000000,1002,870500133,278262,9469,1245,2024-12-13T15:00:10Z,https://www.youtube.com/watch?v=BPxDBwHM7qk&ab_channel=EngineeringExplained
Two Minute Papers,1620000,955,149944520,55738,2292,191,2025-02-06T14:39:17Z,https://www.youtube.com/watch?v=Mhk-otOlo1c&ab_channel=TwoMinutePapers
Two Minute Papers,1620000,955,149944520,66404,2979,266,2025-02-04T11:30:13Z,https://www.youtube.com/watch?v=oKx2xQQl--Q&ab_channel=TwoMinutePapers
Two Minute Papers,1620000,955,149944520,63590,3201,150,2025-01-29T16:48:04Z,https://www.youtube.com/watch?v=jyhu1VipWpo&ab_channel=TwoMinutePapers
Two Minute Papers,1620000,955,149944520,126483,5648,737,2025-01-23T09:46:27Z,https://www.youtube.com/watch?v=btvB56PkvwE&ab_channel=TwoMinutePapers
